,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,mode,liveness,loudness,speechiness,tempo,time_signature,valence
1073,Stars On 45 - Original Single Version,Stars On 45,Stars On 45,1981-09-08,286666,43,0.734,0.19,0.784,3.75e-06,7,1,0.621,-5.84,0.0527,123.086,4,0.963
1074,Angel of the Morning (Re-Recorded),Monster Ballads - Radio Classics,Juice Newton,2011-07-01,256739,24,0.432,0.0921,0.212,0.0159,8,1,0.0849,-13.243,0.0297,147.053,4,0.257
1075,Love On The Rocks,THE GREATEST HITS 1966 - 1992,Neil Diamond,1973,219266,0,0.331,0.877,0.186,1.23e-05,9,0,0.0854,-16.986,0.0375,128.54,4,0.185
1076,Every Woman in the World,Ultimate Air Supply,Air Supply,2003-05-29,208000,49,0.485,0.201,0.555,0.0,9,1,0.11,-6.928,0.0279,78.085,4,0.364
1077,The One That You Love,Ultimate Air Supply,Air Supply,2003-05-29,253800,44,0.424,0.589,0.421,0.0,0,1,0.339,-7.949,0.0277,109.048,4,0.188
1078,Guilty (feat. Barry Gibb),Guilty,Barbra Streisand,1980-09-23,264333,67,0.626,0.231,0.425,0.0,0,1,0.114,-15.656,0.0356,150.875,4,0.952
1079,The Best Of Times,Gold,Styx,2004-01-01,258133,28,0.338,0.306,0.45,0.0,0,1,0.292,-6.219,0.0245,79.383,4,0.337
1080,Elvira,Fancy Free,The Oak Ridge Boys,1981-01-01,225626,63,0.825,0.188,0.285,0.00131,8,1,0.0539,-17.491,0.0326,126.946,4,0.86
1081,Take It On the Run,Hi Infidelity,REO Speedwagon,1980-11-21,239893,0,0.352,0.0515,0.725,0.0,7,1,0.18,-6.877,0.0371,155.539,4,0.431
1082,(There's) No Gettin' Over Me,16 Biggest Hits,Ronnie Milsap,2007-03-27,195493,0,0.604,0.511,0.458,3.28e-05,1,0,0.243,-10.468,0.0327,200.849,4,0.812
1083,Living Inside Myself,These Are The Days,Gino Vannelli,2005-01-01,264866,2,0.379,0.518,0.637,1.29e-05,11,1,0.0691,-5.138,0.0362,120.26,4,0.0446
1084,Woman In Love,The Essential Barbra Streisand,Barbra Streisand,2002-01-29,231226,51,0.484,0.489,0.469,9.58e-05,3,0,0.291,-7.35,0.0257,169.678,4,0.307
1085,Boy From New York City,Rhino Hi-Five: The Manhattan Transfer,The Manhattan Transfer,2006-10-24,221000,0,0.708,0.291,0.504,0.000678,9,1,0.072,-12.752,0.0632,152.216,4,0.652
1086,Urgent,Urgent / Girl on the Moon,Foreigner,1981,237874,32,0.847,0.316,0.802,0.00342,4,0,0.0908,-5.847,0.0312,115.039,4,0.962
1087,Passion - 2008 Remaster,The Definitive Rod Stewart,Rod Stewart,2008-11-17,332080,25,0.69,0.0135,0.564,0.00174,9,1,0.228,-10.824,0.0363,103.565,4,0.0609
1088,Lady (You Bring Me Up),Motown: The Complete No. 1's,Commodores,2008-01-01,241546,0,0.826,0.0967,0.736,5.2e-05,0,0,0.0753,-5.404,0.0333,120.805,4,0.791
1089,The Best Of Times,20th Century Masters: The Millennium Collection: Best Of Styx,Styx,2002-01-01,259573,0,0.317,0.241,0.411,1.1e-06,0,1,0.292,-8.952,0.0274,160.214,4,0.381
1090,Crying,The Best Of Don McLean,Don McLean,1988-01-01,222693,37,0.313,0.596,0.398,3.48e-05,5,0,0.0519,-10.889,0.0285,145.973,4,0.236
1091,Hearts,Balin,Marty Balin,1981-01-01,258773,54,0.719,0.529,0.551,9.05e-06,0,1,0.139,-9.124,0.0324,123.444,4,0.829
1092,It's My Turn,The Motown Anthology,Diana Ross,2001-01-01,238826,11,0.234,0.387,0.495,0.0,5,0,0.109,-8.029,0.0335,76.852,4,0.34
1093,You Make My Dreams (Come True),The Very Best of Daryl Hall / John Oates,Daryl Hall & John Oates,2001-01-23,187600,63,0.749,0.13,0.484,0.137,5,1,0.0486,-9.944,0.0484,167.084,4,0.939
1094,I Don't Need You - Remastered 2006,Number Ones,Kenny Rogers,2006-01-01,205821,0,0.474,0.603,0.282,8.78e-06,1,1,0.139,-13.653,0.0306,134.952,4,0.309
1095,How 'Bout Us,'80s Pop Hits,Champaign,2001-08-08,274600,32,0.513,0.507,0.498,2.75e-05,1,1,0.0711,-11.277,0.0486,72.435,4,0.509
1096,Hit Me With Your Best Shot - 1999 Digital Remaster,Synchronistic Wanderings,Pat Benatar,1999-09-23,171293,0,0.715,0.109,0.702,7.73e-06,4,1,0.255,-6.055,0.0296,127.446,4,0.954
1097,Time,The Turn Of A Friendly Card (Expanded Edition),The Alan Parsons Project,1980-11-01,314640,57,0.338,0.272,0.349,0.0677,5,0,0.143,-12.7,0.0264,146.827,4,0.109
1098,Hungry Heart,The River,Bruce Springsteen,1980,198106,0,0.636,0.142,0.768,0.00938,8,1,0.136,-12.014,0.0268,109.83,4,0.97
1099,Sweetheart,Franke & The Knockouts [Original Recording Remastered],Franke & The Knockouts,1981,251293,0,0.597,0.0157,0.846,0.0184,9,1,0.0716,-6.945,0.0418,144.608,3,0.714
1100,Physical,20th Century Masters: The Millennium Collection: Best Of Olivia Newton-John,Olivia Newton-John,2002-02-05,222400,38,0.829,0.13,0.737,6.25e-05,4,0,0.284,-8.181,0.0441,123.878,4,0.857
1101,Eye of the Tiger,Rocky IV,Survivor,1985,245640,78,0.817,0.132,0.599,0.000311,0,0,0.0873,-9.249,0.0328,108.873,4,0.548
1102,Ebony & Ivory,Song Review: A Greatest Hits Collection,Stevie Wonder,1996-01-01,220506,0,0.636,0.0837,0.569,0.0,4,1,0.0562,-11.005,0.0326,80.659,4,0.774
1103,Centerfold,Classic Rock,The J. Geils Band,2008-01-01,217800,29,0.646,0.3,0.852,0.0,0,1,0.371,-5.142,0.0481,114.523,4,0.867
1104,Don't You Want Me,Dare!/Love And Dancing,The Human League,1981,240533,36,0.734,0.175,0.742,0.0,9,0,0.134,-8.021,0.0382,117.652,4,0.957
1105,Jack And Diane,30 Greatest Hits Of The 80's,The Hit Crew,2007-07-17,253186,20,0.579,0.199,0.399,6.78e-06,9,1,0.0882,-11.103,0.0735,103.45,4,0.726
1106,Hurts So Good,Words & Music: John Mellencamp's Greatest Hits,John Mellencamp,2004-01-01,219360,0,0.809,0.0409,0.739,0.000163,9,1,0.0929,-5.35,0.0358,125.456,4,0.971
1107,Abracadabra (Round N' round) [Radio Edit],"40 Dance Club Hits Volume 1 (Only Essential Hits & Anthems in Electro, Dance, House, Trance and Techno)",Steve Miller Band,2012-05-07,176813,0,0.731,0.000466,0.848,0.4,11,0,0.242,-7.482,0.0368,126.587,4,0.968
1108,Hard to Say I'm Sorry,Be My Valentine 20 Best Ballads,Chicago,2012-01-10,306851,0,0.346,0.189,0.532,0.000959,11,1,0.0661,-9.466,0.0415,72.013,4,0.287
1109,Tainted Love,Tainted Love / Where Did Our Love Go,Soft Cell,2009-01-01,156906,53,0.569,0.106,0.493,0.0,0,0,0.624,-9.112,0.0381,143.221,4,0.616
1110,Chariots Of Fire,Themes,Vangelis,1989-01-01,211208,0,0.48,0.0896,0.378,0.398,1,1,0.118,-13.317,0.0328,136.379,4,0.0616
1111,Harden My Heart,MacGruber [Original Motion Picture Soundtrack],Quarterflash,2010-05-17,232533,0,0.501,0.0823,0.717,0.0,11,0,0.136,-5.35,0.0588,123.558,4,0.434
1112,Rosanna - Single Version,Pop Music: The Modern Era 1976-1999,TOTO,1999-10-11,242160,24,0.39,0.0273,0.58,6.94e-05,7,0,0.0755,-10.121,0.038,167.128,4,0.554
1113,I Can't Go for That (No Can Do),The Very Best of Daryl Hall / John Oates,Daryl Hall & John Oates,2001-01-23,309266,45,0.873,0.0213,0.373,2.43e-05,0,0,0.0497,-12.685,0.0464,110.67,4,0.972
1114,867-5309 / Jenny,867-5309 / Jenny,Tommy Tutone,2008-04-09,231080,45,0.73,0.0418,0.785,0.00669,2,1,0.123,-7.201,0.0456,137.639,4,0.724
1115,Key Largo,The Ultimate Collection,Bertie Higgins,2010,198946,37,0.503,0.443,0.659,0.0,0,1,0.153,-6.829,0.0356,101.668,4,0.33
1116,You Should Hear How She Talks About You,The Essence Of Melissa Manchester,Melissa Manchester,1997-05-20,255173,27,0.797,0.133,0.678,0.0,4,1,0.119,-12.24,0.0514,132.934,4,0.882
1117,Waiting for a Girl like You - 2008 Remaster,No End in Sight: The Very Best of Foreigner,Foreigner,2008-07-08,288080,51,0.321,0.404,0.522,9.56e-06,10,0,0.0922,-7.349,0.0339,202.689,4,0.456
1118,Don't Talk to Strangers,Greatest Hits,Rick Springfield,1989-10-03,178933,16,0.798,0.206,0.662,0.0,1,0,0.0382,-11.691,0.0471,123.178,4,0.691
1119,The Sweetest Thing (I've Ever Known),Juice Newton's Greatest Hits,Juice Newton,1988-10-19,248133,44,0.38,0.602,0.228,0.0,7,1,0.154,-14.373,0.0261,77.177,4,0.181
1120,Always on My Mind,One Hell Of A Ride,Willie Nelson,2008-04-01,212720,22,0.531,0.781,0.316,0.00289,2,1,0.138,-12.264,0.0269,73.403,4,0.202
1121,Shake It Up,Shake It Up,The Cars,1981-11-06,215440,53,0.692,0.0723,0.74,8.83e-05,0,1,0.136,-7.466,0.0329,147.274,4,0.864
1122,Let It Whip,80s Mania,Dazz Band,2008-09-01,282647,0,0.857,0.217,0.816,8.21e-05,7,1,0.135,-6.947,0.0598,131.99,4,0.965
1123,We Got The Beat,Countdown To The New Year,The Go-Go's,2010-01-01,150413,29,0.599,0.0328,0.985,0.0568,2,1,0.0318,-6.696,0.0492,152.042,4,0.547
1124,The Other Woman,Arista Heritage Series: Ray Parker,Ray Parker Jr.,2000-02-08,245266,27,0.902,0.136,0.633,0.000346,9,1,0.0906,-9.735,0.0532,125.698,4,0.962
1125,Turn Your Love Around,The George Benson Collection,George Benson,1981,230106,57,0.627,0.334,0.385,0.0,9,0,0.182,-13.655,0.0537,205.726,4,0.766
1126,Sweet Dreams,Ultimate Air Supply,Air Supply,2003-05-29,317093,41,0.339,0.392,0.442,8.09e-06,2,0,0.412,-8.294,0.0317,127.738,4,0.199
1127,Only The Lonely - Remastered 1999,All Four One,The Motels,1982-04-06,196200,56,0.649,0.0503,0.313,0.0017,8,1,0.0864,-16.631,0.0339,115.493,4,0.708
1128,Who Can It Be Now?,The Essential Men At Work,Men At Work,1981,203266,56,0.807,0.0444,0.83,0.000358,4,1,0.0842,-4.04,0.0367,128.501,4,0.954
1129,Hold Me,Greatest Hits,Fleetwood Mac,1988-11-21,225333,62,0.709,0.247,0.571,0.014,10,1,0.114,-13.25,0.039,124.739,4,0.779
1130,Eye In The Sky,Eye In The Sky (Expanded Edition),The Alan Parsons Project,1982,276280,72,0.823,0.562,0.417,0.00098,2,1,0.0765,-12.643,0.032,111.928,4,0.522
1131,Let's Groove,"The Best Of Earth, Wind & Fire-Vol. II","Earth, Wind & Fire",1988-05-30,334866,0,0.877,0.0628,0.557,0.0023,11,0,0.145,-10.79,0.0723,125.543,4,0.88
1132,Open Arms,The Essential Journey,Journey,2001-10-16,198666,51,0.311,0.635,0.257,0.0,2,1,0.162,-9.779,0.031,75.336,4,0.138
1133,Leader Of The Band,Portrait: The Music Of Dan Fogelberg From 1972-1997,Dan Fogelberg,1997,293706,28,0.538,0.825,0.129,0.0,7,1,0.979,-15.234,0.0391,125.58,4,0.249
1134,Leather and Lace (with Don Henley),Timespace - The Best Of Stevie Nicks,Stevie Nicks,1991-08-30,229226,62,0.553,0.664,0.398,0.0,3,1,0.114,-11.67,0.0303,76.074,4,0.392
1135,Even the Nights Are Better,Ultimate Air Supply,Air Supply,2003-05-29,234666,50,0.423,0.585,0.593,0.0,5,1,0.132,-8.467,0.037,115.255,4,0.25
1136,I've Never Been To Me,80s Mania,Charlene,2008-09-01,240440,0,0.593,0.84,0.348,3.42e-06,10,1,0.208,-11.443,0.0335,119.871,4,0.417
1137,'65 Love Affair,Radio Hits Of the '80s,Paul Davis,1979,219813,42,0.647,0.432,0.686,6.19e-06,2,0,0.133,-4.247,0.0274,155.697,4,0.952
1138,Heat Of The Moment,Heat Of The Moment: The Very Best Of Asia,Asia,2000-01-01,232333,0,0.297,0.191,0.846,1.37e-05,1,1,0.283,-6.571,0.0482,137.426,4,0.602
1139,Take It Easy On Me - Remastered,Time Exposure (Remastered),Little River Band,1981,227080,43,0.424,0.0178,0.575,3.38e-06,9,1,0.276,-9.269,0.033,121.681,4,0.276
1140,Pac-Man Fever,80s Mania,Buckner & Garcia,2008-09-01,229000,0,0.799,0.52,0.818,9.78e-05,10,1,0.435,-6.597,0.0677,141.53,4,0.869
1141,That Girl,Original Musiquarium,Stevie Wonder,1982-05-04,313853,0,0.796,0.109,0.69,1.93e-05,6,1,0.0613,-8.938,0.0466,106.972,4,0.898
1142,Private Eyes,"Greatest Hits--Rock 'n' Soul, Part 1",Daryl Hall & John Oates,1983-10-18,208173,33,0.823,0.331,0.778,0.0,2,0,0.0799,-12.313,0.0475,121.033,4,0.862
1143,Trouble,Law and Order,Lindsey Buckingham,1981,236533,61,0.695,0.111,0.503,0.0134,1,1,0.0996,-12.91,0.0361,124.113,4,0.969
1144,Making Love,I'm the One,Roberta Flack,1982,223946,41,0.428,0.941,0.0204,0.00918,5,1,0.0807,-25.487,0.0333,139.537,4,0.0521
1145,Love's Been A Little Bit Hard On Me,Juice Newton's Greatest Hits,Juice Newton,1988-10-19,195640,29,0.607,0.136,0.753,0.00856,9,1,0.0659,-10.721,0.0326,144.637,4,0.936
1146,Young Turks - 2008 Remaster,The Definitive Rod Stewart,Rod Stewart,2008-11-17,302413,55,0.641,0.274,0.821,0.487,5,0,0.138,-8.783,0.0325,161.143,4,0.705
1147,Freeze-Frame,Best Of The J. Geils Band,The J. Geils Band,2011-01-01,238133,36,0.605,0.175,0.913,0.00952,0,1,0.385,-4.984,0.0419,186.124,4,0.93
1148,Keep the Fire Burnin',Good Trouble,REO Speedwagon,1982-06-11,234893,33,0.445,0.15,0.818,0.00509,0,1,0.313,-9.797,0.0406,104.531,4,0.777
1149,Do You Believe In Love,Greatest Hits: Huey Lewis And The News,Huey Lewis & The News,2006-01-01,207986,40,0.564,0.0854,0.838,0.0,11,1,0.141,-4.417,0.0328,113.816,4,0.815
1150,Every Breath You Take - Remastered 2003,Every Breath You Take The Classics,The Police,2003-01-01,254333,36,0.818,0.527,0.456,0.00364,1,1,0.0811,-9.814,0.0348,117.389,4,0.716
1151,Billie Jean,Number Ones,Michael Jackson,2003-11-18,293200,44,0.93,0.0194,0.601,0.0161,11,0,0.0437,-4.433,0.0401,117.085,4,0.848
1152,Flashdance...What a Feeling - Radio Edit,What a Feelin',Irene Cara,1983-01-01,237053,77,0.572,0.0058,0.654,3.21e-06,7,0,0.09,-7.027,0.0344,122.491,4,0.399
1153,Down Under,Business As Usual,Men At Work,1981,225706,61,0.738,0.0964,0.809,0.00918,11,0,0.18,-4.368,0.026,107.233,4,0.906
1154,Beat It - Single Version,Thriller 25 Deluxe Edition,Michael Jackson,1982-11-30,258040,0,0.779,0.0491,0.867,7.98e-06,3,0,0.197,-3.704,0.0457,138.858,4,0.915
1155,Total Eclipse of the Heart,The Very Best Of Bonnie Tyler,Bonnie Tyler,1999-02-08,269786,2,0.435,0.195,0.658,0.0,8,1,0.102,-8.179,0.0661,130.276,4,0.184
1156,Maneater,H2O,Daryl Hall & John Oates,1982,271893,0,0.727,0.0351,0.685,4.43e-05,11,0,0.0973,-7.159,0.0398,88.75,4,0.812
1157,"Baby, Come To Me","From Q, With Love",Patti Austin,1999-01-01,217600,0,0.622,0.729,0.522,4.45e-06,7,0,0.128,-10.759,0.0623,90.193,4,0.699
1158,Maniac (Flashdance Version) (Re-Recorded / Remastered),Maniac (Flashdance Version) (Re-Recorded / Remastered),Michael Sembello,2009-09-01,259134,38,0.637,0.00482,0.73,0.000449,3,0,0.0251,-7.368,0.034,157.202,4,0.829
1159,Sweet Dreams (Are Made of This) - Remastered,Ultimate Collection,Eurythmics,2005-11-08,216880,30,0.696,0.219,0.71,0.0,0,0,0.114,-7.502,0.0336,125.143,4,0.835
1160,Do You Really Want To Hurt Me - Remastered 2002,Culture Club,Culture Club,2002-01-01,263493,48,0.731,0.0563,0.594,0.0,4,0,0.13,-6.285,0.0345,100.676,4,0.336
1161,You And I,Greatest Hits,Eddie Rabbitt,1995-01-01,242026,33,0.492,0.227,0.219,0.000316,5,1,0.109,-17.94,0.0276,82.189,4,0.209
1162,Come On Eileen,Too Rye Ay,Dexys Midnight Runners,1982-08,287306,0,0.45,0.648,0.658,3.14e-06,2,1,0.264,-7.064,0.0472,106.799,4,0.781
1163,Shame on the Moon,Turn the Page Again: Bob Seger and the Silver Bullet Band Tribute,Sam Morrison and Turn The Page,2010-06-15,277466,8,0.715,0.209,0.486,0.00993,9,1,0.0941,-7.406,0.0254,104.96,4,0.316
1164,She Works Hard For The Money,She Works Hard For The Money,Donna Summer,1983-01-01,320840,62,0.758,0.00486,0.638,0.0141,8,0,0.0938,-13.01,0.0378,136.502,4,0.984
1165,Never Gonna Let You Go,Sergio Mendes,Sérgio Mendes,1983,255600,57,0.639,0.567,0.403,0.0,7,1,0.67,-12.401,0.0349,132.56,4,0.324
1166,Hungry Like the Wolf - 2009 Remaster,Rio (Collector's Edition),Duran Duran,1982-05-10,220626,74,0.691,0.0433,0.812,1.16e-06,0,1,0.299,-7.772,0.0558,127.568,4,0.685
1167,Let's Dance - 1999 Remaster,Let's Dance (1999 Remaster),David Bowie,1983-04-14,457133,1,0.619,0.00388,0.703,0.205,10,0,0.163,-9.414,0.0525,115.043,4,0.709
1168,Twilight Zone,Golden Earring Biggest Hits,Golden Earring,2010-06-07,478106,35,0.656,0.00785,0.756,3.49e-05,11,0,0.0927,-6.516,0.0399,118.56,4,0.542
1169,I Know There's Something Going On,Something's Going On,Frida,1982-09-06,330977,0,0.596,0.116,0.568,0.139,2,0,0.0412,-15.168,0.034,108.184,4,0.905
1170,Electric Avenue,The Very Best Of Eddy Grant - Road To Reparation,Eddy Grant,2008-01-01,224960,0,0.969,0.212,0.495,0.00035,2,1,0.0697,-7.702,0.185,122.04,4,0.775
1171,She Blinded Me With Science,Retrospectacle - The Best Of Thomas Dolby,Thomas Dolby,1994-02-07,221266,44,0.799,0.108,0.755,0.169,9,1,0.0661,-11.538,0.0419,128.695,4,0.975
1172,Africa,Toto IV,TOTO,1982-04-08,295893,84,0.671,0.257,0.373,8.01e-05,9,1,0.0481,-18.064,0.0323,92.718,4,0.732
1173,Little Red Corvette,1999,Prince,1982-10-27,296906,53,0.748,0.281,0.746,3.31e-05,1,1,0.632,-9.721,0.111,123.144,4,0.709
1174,Back on the Chain Gang - 2009 Remaster,The Best of the Pretenders,Pretenders,2008-09-23,233120,28,0.598,0.0956,0.901,0.0377,2,1,0.163,-5.995,0.0352,153.269,4,0.823
1175,Up Where We Belong,The Best of Joe Cocker,Joe Cocker,1993-03-01,233240,56,0.573,0.597,0.429,8.18e-05,2,1,0.0839,-8.68,0.0294,139.097,4,0.361
1176,Mr. Roboto,Kilroy Was Here,Styx,1983-01-01,328706,62,0.663,0.186,0.482,0.0,1,1,0.0521,-12.093,0.0479,144.13,4,0.314
1177,You Are,The Best Of Lionel Richie 20th Century Masters The Millennium Collection,Lionel Richie,2003-01-01,301093,44,0.771,0.253,0.524,9.79e-06,1,1,0.0507,-10.21,0.0324,111.963,4,0.705
1178,Der Kommissar (Re-Recorded / Remastered),Der Kommissar (Re-Recorded / Remastered),After The Fire,2010-02-01,244693,24,0.777,0.0262,0.72,5.45e-06,2,1,0.0762,-4.947,0.0304,120.985,4,0.864
1179,Puttin' On The Ritz,After Eight,Taco,2005,281160,0,0.805,0.168,0.287,0.00153,0,1,0.175,-17.133,0.0775,98.649,4,0.796
1180,Sexual Healing,Midnight Love,Marvin Gaye,1982-10-01,238600,73,0.805,0.119,0.602,0.000122,0,0,0.0581,-9.7,0.0579,94.382,4,0.744
1181,(Keep Feeling) Fascination,Essential,The Human League,2011-09-09,224666,0,0.688,0.264,0.734,1.15e-06,0,1,0.146,-5.062,0.0984,118.105,4,0.641
1182,Time (Clock Of The Heart) - 2003 Mix,Culture Club,Culture Club,2002-01-01,224493,41,0.716,0.471,0.773,0.0,0,0,0.0493,-6.329,0.0369,117.057,4,0.916
1183,The Safety Dance,Rhythm of Youth,Men Without Hats,1982,277480,46,0.779,0.0463,0.742,5.56e-05,5,1,0.157,-8.534,0.0368,100.2,4,0.286
1184,Mickey,Best of Toni Basil: Mickey & Other Love Songs,Toni Basil,1994,254666,0,0.684,0.262,0.8,3.5e-06,4,1,0.0624,-10.464,0.0449,148.205,4,0.968
1185,You Can't Hurry Love,"Hello, I Must Be Going",Phil Collins,1982-11-17,175346,0,0.639,0.0674,0.923,0.0,7,1,0.0879,-5.708,0.032,97.874,4,0.761
1186,Separate Ways (Worlds Apart),Frontiers,Journey,1983-02-22,323706,69,0.451,0.0188,0.962,3.17e-06,0,1,0.277,-3.947,0.0734,131.435,4,0.377
1187,One On One,The Essential Daryl Hall & John Oates,Daryl Hall & John Oates,2005-04-25,257040,38,0.755,0.781,0.448,0.148,0,1,0.244,-9.794,0.0256,95.57,4,0.837
1188,We've Got Tonight - Remastered 2006,Love's Greatest Hits,Kenny Rogers,2006-01-01,228773,1,0.437,0.752,0.167,0.000202,8,1,0.125,-13.304,0.0308,123.324,4,0.228
1189,1999,1999,Prince,1982-10-27,379266,64,0.866,0.137,0.73,0.0,5,1,0.0843,-8.201,0.0767,118.523,4,0.625
1190,Stray Cat Strut,Built For Speed,Stray Cats,1982-01-01,198000,53,0.679,0.0957,0.609,0.00113,0,0,0.0474,-9.482,0.0347,132.467,4,0.695
1191,Allentown,The Essential Billy Joel,Billy Joel,2001-10-02,229973,38,0.691,0.108,0.841,4.96e-06,7,1,0.098,-8.309,0.0287,113.845,4,0.969
1192,Stand Back,Timespace - The Best Of Stevie Nicks,Stevie Nicks,1991-08-30,297093,57,0.638,0.00736,0.783,0.0447,11,0,0.0381,-9.455,0.0435,115.269,4,0.637
1193,Tell Her About It,The Essential Billy Joel,Billy Joel,2001-10-02,229133,38,0.566,0.00683,0.891,0.0,8,1,0.487,-5.209,0.159,183.221,4,0.748
1194,Always Something There To Remind Me,"Promises, Promises The Very Best Of Naked Eyes",Naked Eyes,1994-04-19,218933,0,0.613,0.133,0.801,0.0,7,1,0.545,-5.165,0.0352,149.258,4,0.691
1195,Truly,The Definitive Collection,Lionel Richie,2003,200413,38,0.339,0.451,0.291,2.83e-06,1,1,0.0921,-9.841,0.0326,137.385,4,0.198
1196,The Girl Is Mine (with Paul McCartney),The Essential Michael Jackson,Michael Jackson,2005-07-19,221906,36,0.684,0.308,0.676,0.0,6,0,0.177,-6.337,0.0535,81.408,4,0.693
1197,Too Shy - 2004 Remaster,Too Shy: The Best Of Kajagoogoo & Limahl,Kajagoogoo,2009-09-07,225853,45,0.691,0.0418,0.79,6.93e-05,10,0,0.091,-10.263,0.0633,108.266,4,0.746
1198,Goody Two Shoes,The Very Best Of,Adam Ant,2006-09-08,209693,35,0.624,0.0322,0.976,0.00813,9,1,0.0429,-6.947,0.0895,95.499,4,0.539
1199,Rock the Casbah,The Essential Clash,The Clash,2003-03-10,220573,0,0.806,0.252,0.875,0.0,9,0,0.0785,-6.844,0.0542,129.588,4,0.881
1200,When Doves Cry,Purple Rain,Prince,1984-06-25,352906,72,0.729,0.0102,0.989,4.45e-05,9,0,0.443,-4.613,0.049,126.47,4,0.84
1201,What's Love Got To Do WIth It - 1997 Digital Remaster,Tina Turner Love Songs,Tina Turner,2006-02-03,228733,0,0.848,0.214,0.567,1.55e-06,1,1,0.0916,-5.636,0.0476,97.854,4,0.779
1202,Say Say Say,Pipes Of Peace,Paul McCartney,1983-10-28,236026,0,0.814,0.00536,0.451,0.0221,10,0,0.053,-16.943,0.0462,117.525,4,0.761
1203,Footloose,Footloose (15th Anniversary Collectors' Edition),Kenny Loggins,1981,226826,0,0.583,0.0984,0.905,0.00019,2,1,0.0593,-6.132,0.0733,173.982,4,0.646
1204,Against All Odds - Live,Love Songs (A Compilation Old and New),Phil Collins,2004-09-14,304066,41,0.355,0.458,0.448,0.794,5,0,0.779,-10.929,0.0388,99.147,4,0.229
1205,Jump - 2004 Remaster,Rhino Hi-Five: Metal,Van Halen,2006-05-16,244106,40,0.546,0.12,0.843,4.98e-05,0,1,0.0618,-5.821,0.0326,129.894,4,0.783
1206,Hello,The Best Of Lionel Richie 20th Century Masters The Millennium Collection,Lionel Richie,2003-01-01,249266,44,0.522,0.523,0.34,0.0,9,0,0.123,-9.875,0.0313,62.173,4,0.0563
1207,Owner of a Lonely Heart,The Blender Album,Yes,2005-09-27,267746,17,0.739,0.436,0.747,0.00529,7,1,0.213,-7.345,0.0375,124.994,4,0.907
1208,Ghostbusters,Arista Heritage Series: Ray Parker,Ray Parker Jr.,2000-02-08,240800,61,0.779,0.0125,0.717,0.0536,6,0,0.355,-9.7,0.0335,115.384,4,0.789
1209,Karma Chameleon,At Worst...The Best Of Boy George And Culture Club,Culture Club,1993-01-01,241600,64,0.676,0.186,0.577,0.0,10,1,0.148,-12.031,0.0365,91.98,4,0.934
1210,Missing You,80's Hits,John Waite,2008-01-01,269773,40,0.742,0.118,0.493,0.0,11,0,0.0484,-12.055,0.0283,104.313,4,0.616
1211,All Night Long (All Night),Motown: The Complete No. 1's,Lionel Richie,2008-01-01,259013,0,0.736,0.124,0.625,0.00122,1,1,0.0533,-10.977,0.0475,108.85,4,0.807
1212,Let's Hear It For The Boy,Footloose (15th Anniversary Collectors' Edition),Deniece Williams,1981,261893,0,0.783,0.177,0.573,8.5e-05,7,1,0.043,-8.521,0.0462,122.744,4,0.789
1213,Dancing In The Dark,Born In The U.S.A.,Bruce Springsteen,1984,239733,0,0.525,0.0549,0.842,0.0,11,1,0.275,-12.12,0.0353,148.803,4,0.594
1214,Girls Just Want to Have Fun,'80s Pop Hits,Cyndi Lauper,2001-08-08,227866,52,0.704,0.453,0.646,1.42e-05,6,1,0.549,-9.415,0.037,120.54,4,0.713
1215,The Reflex,The Singles 81-85,Duran Duran,2003,266933,35,0.556,0.123,0.9,0.0,0,1,0.571,-6.11,0.097,126.686,4,0.804
1216,Time After Time,She's So Unusual,Cyndi Lauper,1983,241333,0,0.726,0.487,0.449,1.34e-06,0,1,0.0824,-9.206,0.0286,130.388,4,0.294
1217,Jump (For My Love) - Single Remix,Love Actually Soundtrack,The Pointer Sisters,2003-09-03,262466,48,0.858,0.109,0.749,1.59e-05,10,0,0.145,-10.577,0.0887,134.386,4,0.872
1218,Talking in Your Sleep,What I Like About You (And Other Romantic Hits),The Romantics,1990,234866,48,0.734,0.0208,0.821,0.000103,9,0,0.0932,-11.586,0.0329,129.771,4,0.981
1219,Self Control,Self Control,Laura Branigan,1984,246440,74,0.814,0.219,0.686,0.00382,6,0,0.155,-12.172,0.0342,106.679,4,0.778
1220,Let's Go Crazy,The Very Best of Prince,Prince,2001-07-30,280000,32,0.308,0.0192,0.93,0.00221,11,1,0.106,-6.399,0.125,195.805,4,0.376
1221,Say It Isn't So,The Very Best of Daryl Hall / John Oates,Daryl Hall & John Oates,2001-01-23,257466,49,0.769,0.0588,0.595,0.0,4,0,0.18,-11.796,0.028,113.971,4,0.969
1222,Hold Me Now,Platinum & Gold Collection,Thompson Twins,2003-01-01,286733,36,0.789,0.694,0.738,7.79e-06,7,1,0.136,-5.693,0.0327,108.241,4,0.862
1223,Joanna,Kool and the Gang: Greatest Hits,Kool & The Gang,2009-01-01,216320,0,0.544,0.241,0.777,0.00219,10,1,0.883,-10.163,0.0482,116.395,4,0.684
1224,I Just Called To Say I Love You,Number 1's,Stevie Wonder,2007-01-01,260613,0,0.748,0.198,0.551,0.0,1,1,0.0978,-8.624,0.0235,113.524,4,0.662
