,0
1292,45K
1293,263.1K
1294,33.4K
1295,90.6K
1296,58.5K
1297,37K
1298,70.7K
1299,311.4K
1300,55.9K
1301,25.2K
1302,20.7K
1303,53K
1304,442.1K
1305,363.8K
1306,136.7K
1307,183.5K
1308,189.9K
1309,301.6K
1310,233.8K
1311,64.4K
1312,1105
1313,179.9K
1314,400K
1315,4840
1316,257.6K
1317,69.4K
1318,547.5K
1319,211.1K
1320,116.3K
1321,225.3K
1322,109.5K
1323,139K
1324,100K
1325,346.7K
1326,254.6K
1327,388.7K
1328,961.4K
1329,2434
1330,125.7K
1331,146.2K
1332,5078
1333,218.3K
1334,55.2K
1335,109.4K
1336,340.1K
1337,205.1K
1338,26.6K
1339,385.5K
1340,354K
1341,124.9K
1342,85.5K
1343,40K
1344,53.6K
1345,12.3K
1346,341K
1347,798.8K
1348,182.9K
1349,104.6K
1350,457.5K
1351,385.2K
1352,52.7K
1353,240K
1354,376.5K
1355,60.7K
1356,527.2K
1357,175K
1358,1.2M
1359,227.3K
1360,140.7K
1361,555.8K
1362,89.2K
1363,1M
1364,46.9K
1365,43.5K
1366,261.4K
1367,181.6K
1368,16.8K
1369,288.2K
1370,115K
1371,842.2K
1372,37K
1373,220.2K
1374,58.3K
1375,4109
1376,6219
1377,47.8K
1378,241.5K
1379,24.6K
1380,26.1K
1381,84.6K
1382,163.8K
1383,69K
1384,3025
1385,80.2K
1386,142.4K
1387,3401
1388,274.7K
1389,32.6K
1390,94K
1391,20.6K
1392,23.5K
1393,314K
1394,26.6K
1395,142.6K
1396,61.9K
1397,226.5K
1398,19.1K
1399,446.5K
1400,67.5K
1401,127.2K
1402,255.9K
1403,113.2K
1404,81.1K
1405,106.1K
1406,1652
1407,273.6K
1408,107.4K
1409,45.7K
1410,339K
1411,116.3K
1412,88.7K
1413,54.5K
1414,143.1K
1415,35.2K
1416,390.6K
1417,408.1K
1418,39.7K
1419,160.4K
1420,44K
1421,438.4K
1422,286.6K
1423,188.2K
1424,757K
1425,1304
1426,0
1427,26.5K
1428,176.8K
1429,57.1K
1430,411.5K
1431,101.6K
1432,150.5K
1433,376.3K
1434,110.4K
1435,30.9K
1436,229
1437,166.8K
1438,140.9K
1439,173K
1440,95.3K
1441,49.9K
1442,5025
1443,27.4K
1444,435.6K
1445,102.1K
1446,52.6K
1447,5555
1448,97.4K
1449,1278
1450,163.4K
1451,403.5K
1452,639K
1453,319.1K
1454,507.3K
1455,176.3K
1456,459.2K
1457,62.3K
1458,113K
1459,117.2K
1460,37.3K
1461,138.9K
1462,299.5K
1463,105.7K
1464,117.7K
1465,134.9K
1466,84.5K
1467,335.5K
1468,33.6K
1469,5345
1470,161.8K
1471,5910
1472,62.6K
1473,4756
1474,5330
1475,169.8K
1476,2916
1477,54.3K
1478,31.8K
1479,17.7K
1480,12.5K
1481,149.8K
1482,126.9K
1483,129.9K
1484,579.5K
1485,23.7K
1486,50.9K
1487,113.3K
1488,6071
1489,111.9K
1490,18.4K
1491,121.8K
1492,83K
1493,50.8K
1494,506.7K
1495,44K
1496,21.8K
1497,22.9K
1498,58.4K
1499,14.7K
1500,12.8K
1501,108.2K
1502,55.9K
1503,70.1K
1504,22.4K
1505,323.2K
1506,566.8K
1507,11.1K
1508,7969
1509,45.9K
1510,111.2K
1511,22.4K
1512,96.9K
1513,97.2K
1514,52.6K
1515,78K
1516,69.1K
1517,19.7K
1518,1019
1519,98.8K
1520,177.1K
1521,188.2K
1522,190K
1523,31.2K
1524,73.1K
1525,24.2K
1526,22.2K
1527,71.8K
1528,1663
1529,166K
1530,1.4M
1531,18.1K
1532,338
1533,296.2K
1534,40.3K
1535,227.6K
1536,799.7K
1537,20.1K
1538,102.7K
1539,82.1K
1540,88.6K
1541,5819
1542,73.7K
1543,4636
1544,15.2K
1545,45.2K
1546,18.4K
1547,201.1K
1548,321K
1549,8354
1550,284K
1551,357.9K
1552,162.1K
1553,59.8K
1554,861K
1555,19.6K
1556,1.8M
1557,35.7K
1558,90.9K
1559,153.8K
1560,303.1K
1561,251.6K
1562,753.3K
1563,189.2K
1564,102.7K
1565,1.1M
1566,143.9K
1567,504K
1568,150.7K
1569,67.4K
1570,12.3K
1571,76.1K
1572,712.8K
1573,111.1K
1574,98K
1575,38K
1576,75.9K
1577,19.3K
1578,79.5K
1579,2.5M
1580,32.5K
1581,130.6K
1582,12.7K
1583,59.1K
1584,82.8K
1585,39.1K
1586,1.5M
1587,93.8K
1588,1243
1589,68.4K
1590,99.3K
1591,65.6K
1592,105.8K
1593,2085
1594,20.6K
1595,30.4K
1596,13.3K
1597,156.9K
1598,141.3K
1599,302.3K
1600,284K
1601,357.9K
1602,162.1K
1603,59.8K
1604,861K
1605,19.6K
1606,1.8M
1607,35.7K
1608,90.9K
1609,153.8K
1610,303.1K
1611,251.6K
1612,753.3K
1613,189.2K
1614,102.7K
1615,1.1M
1616,143.9K
1617,504K
1618,150.7K
1619,67.4K
1620,12.3K
1621,76.1K
1622,712.8K
1623,111.1K
1624,98K
1625,38K
1626,75.9K
